sources targets
1 35
2 36
3 39
4 40
5 43
6 44
7 59
7 67
8 60
8 68
9 53
10 54
11 61
12 63
13 67
14 68
15 77
16 78
17 84
17 85
18 89
19 31
19 37
19 39
20 32
20 38
20 40
21 43
21 51
21 57
22 44
22 52
22 58
23 41
23 53
24 42
24 54
25 61
25 62
25 71
26 63
26 64
26 72
27 55
27 77
28 56
28 78
29 81
29 82
30 83
31 33
31 43
32 34
32 44
33 35
34 36
35 37
36 38
39 41
40 42
41 45
42 46
45 47
45 48
46 49
46 50
51 61
52 63
53 55
54 56
55 59
56 60
59 69
60 70
62 65
62 67
64 66
64 68
65 73
65 74
66 75
66 76
77 79
78 80
79 81
79 83
80 82
80 86
81 84
82 85
83 89
84 87
85 88
86 90
87 89
87 91
88 90
88 92
