sources targets
1 2
1 3
1 36
1 56
2 3
2 21
2 41
3 4
3 29
4 5
4 19
4 22
4 28
5 31
5 33
5 42
5 51
6 7
6 24
6 37
6 57
7 8
7 26
7 37
7 46
8 26
8 35
8 46
9 10
9 11
9 12
9 36
9 50
9 56
10 11
10 12
10 41
11 12
12 40
13 14
13 19
13 42
13 48
14 15
14 42
14 51
14 53
15 16
15 17
15 44
15 57
16 17
16 26
16 46
16 57
17 46
17 55
18 19
18 27
19 28
19 39
19 48
20 27
20 29
20 40
20 49
21 30
21 41
21 50
22 31
23 32
23 36
23 56
24 33
25 34
25 35
25 54
25 55
26 57
28 39
28 48
29 40
29 49
30 36
30 41
30 50
32 36
32 56
34 35
34 45
34 55
37 57
38 39
38 47
39 48
40 49
41 50
42 51
43 52
43 56
44 53
45 54
46 57
47 49
54 55
