sources targets
1 31
1 43
2 38
3 43
3 54
4 44
4 49
5 51
5 63
6 47
7 49
8 55
8 70
9 57
9 65
10 56
11 63
11 73
12 65
12 75
13 66
14 74
14 80
15 70
16 80
16 85
17 25
18 25
19 84
19 87
20 82
20 89
21 83
22 82
23 87
23 91
24 92
25 69
26 72
26 82
27 28
27 29
27 30
28 34
28 36
28 38
29 31
29 35
30 33
30 39
31 32
32 33
32 40
34 37
34 41
35 37
38 42
41 45
41 46
42 47
42 49
43 48
44 47
44 50
44 53
46 52
48 51
50 56
50 58
51 55
52 57
53 60
54 55
54 62
56 61
57 59
58 59
59 64
60 61
60 66
63 67
65 68
67 71
68 69
69 72
69 76
70 77
71 74
72 75
73 74
73 78
75 79
80 81
81 83
83 84
84 85
85 86
87 88
88 90
90 92
91 92
91 93
