sources targets
1 27
1 28
2 28
3 29
4 34
4 37
5 37
5 42
6 33
7 35
8 38
9 40
10 41
11 46
12 51
13 53
14 67
14 76
15 63
16 68
17 75
18 76
19 83
20 35
20 45
21 39
21 51
22 52
22 55
22 56
23 49
23 60
23 61
24 58
24 59
24 64
25 94
25 95
26 27
26 29
26 35
27 31
28 30
28 32
29 30
31 34
32 33
33 36
34 43
36 41
37 38
38 39
39 40
40 42
41 44
42 47
43 48
44 46
45 49
46 50
48 54
50 53
51 52
53 57
54 62
55 58
56 59
57 63
62 70
63 65
65 68
66 67
66 69
66 74
67 71
68 73
69 72
70 79
71 77
71 78
72 75
73 76
75 80
78 81
79 82
80 83
81 85
82 86
83 84
84 88
84 89
85 87
86 90
87 91
88 92
89 93
90 91
92 94
93 94
