sources targets
7 8
9 10
10 11
8 12
4 13
14 15
59 14
55 14
5 16
48 16
3 16
58 17
49 18
46 18
7 12
60 7
7 19
7 9
7 11
7 20
45 1
42 45
45 5
45 21
45 3
47 50
43 47
47 22
23 24
46 25
57 25
56 24
51 56
56 26
56 27
53 56
56 28
56 59
27 28
59 15
53 59
51 59
59 19
61 15
49 61
61 62
9 29
9 12
9 11
9 20
44 30
62 30
30 31
62 31
24 32
24 33
24 27
22 34
43 50
43 4
43 22
51 53
53 19
46 49
49 26
2 6
2 5
2 35
11 29
11 12
11 36
11 20
4 37
33 37
44 62
5 38
20 29
57 6
57 3
46 57
48 57
42 1
42 55
26 27
54 39
54 40
54 36
50 4
19 36
12 36
46 48
48 21
48 3
5 6
6 35
46 6
19 41
60 19
19 20
39 40
62 15
60 20
5 21
3 21
5 35
55 15
51 52
3 5
46 3
32 33
55 1
