sources targets
1 2
1 3
1 4
1 5
1 6
1 7
2 6
2 7
2 54
3 4
3 54
4 7
4 54
4 56
5 6
5 7
5 43
5 44
5 45
5 47
6 7
6 29
7 47
7 54
8 9
8 10
10 64
10 82
11 12
11 13
11 14
12 13
12 71
13 24
13 27
13 71
14 24
14 68
14 70
14 81
15 16
15 17
15 18
15 19
15 20
15 21
15 22
15 23
16 17
16 19
16 55
16 73
16 74
17 20
17 40
18 19
18 74
18 77
18 81
19 21
19 23
19 26
19 74
20 22
20 42
21 23
21 26
21 28
22 23
22 91
23 26
24 25
24 27
24 81
25 26
25 27
25 28
26 28
28 38
29 30
29 32
29 39
29 41
30 31
30 32
31 32
31 72
31 78
31 79
31 80
32 41
32 58
32 72
33 34
33 35
33 36
33 37
33 38
34 35
34 37
34 59
34 61
35 36
35 37
35 61
35 62
36 37
36 38
37 38
39 40
39 53
39 54
40 41
40 42
41 58
42 91
43 44
43 45
45 46
45 47
45 48
46 48
46 87
47 48
47 79
47 80
48 69
48 87
49 50
49 51
49 52
50 52
50 63
50 86
51 56
51 87
52 56
52 74
52 75
52 77
52 86
53 54
53 55
55 73
57 58
57 59
57 60
57 61
57 62
58 60
58 72
58 85
59 60
59 61
59 62
60 61
60 62
61 62
63 64
64 82
65 66
65 67
65 68
65 69
65 70
66 67
66 69
66 87
67 68
67 69
67 87
68 70
68 77
68 81
72 85
73 74
73 76
74 75
74 76
74 77
75 76
75 77
75 86
76 89
78 79
78 83
78 84
79 80
79 83
79 84
83 84
88 89
88 90
