sources targets
1 91
1 93
2 94
2 99
3 25
3 26
3 27
3 28
4 48
4 52
5 51
5 53
6 52
6 57
7 51
7 59
8 49
9 50
10 55
10 64
11 54
12 56
13 58
14 60
15 63
16 64
17 67
18 68
19 74
20 81
21 82
22 86
23 90
24 105
29 61
29 68
30 62
30 69
31 63
31 66
32 65
32 69
33 64
34 74
34 76
35 72
35 77
36 77
36 78
37 80
37 85
38 78
39 82
39 87
40 86
41 88
42 90
43 91
43 92
44 94
44 95
45 97
45 100
46 98
46 102
47 103
47 105
48 49
48 51
49 50
50 53
52 54
53 58
54 55
55 56
56 57
57 60
59 61
59 62
61 63
62 65
66 67
66 71
67 70
68 72
70 73
70 74
72 75
75 78
75 79
76 81
76 82
77 80
80 83
81 84
83 86
85 88
87 89
88 90
89 91
92 93
92 94
95 99
95 105
96 97
96 98
100 101
101 103
102 104
104 106
106 107
