sources targets
1 2
1 15
2 3
2 29
2 30
3 4
3 5
3 16
3 29
4 5
4 6
5 6
5 28
6 7
6 20
6 28
6 33
7 8
7 21
7 33
8 9
8 20
8 22
8 31
9 21
9 31
9 32
10 11
10 12
10 25
10 32
11 12
11 25
12 13
12 24
12 26
13 25
13 26
13 35
14 27
14 38
14 41
15 30
15 40
15 41
16 17
16 18
16 40
17 18
17 19
18 28
18 29
18 39
18 40
19 28
19 33
19 34
19 39
20 21
20 34
21 22
21 42
22 42
22 43
23 24
23 25
23 32
23 43
24 25
25 26
26 44
27 30
27 41
28 33
28 34
29 30
30 38
30 40
31 32
31 43
32 42
32 43
33 34
33 39
34 39
35 36
35 44
35 45
36 37
36 44
36 46
37 45
37 46
38 41
42 43
44 45
45 46
