sources targets
10 44
10 65
10 11
22 30
21 30
30 31
31 32
9 34
19 29
49 4
12 25
26 38
38 60
22 37
37 65
5 40
3 40
11 40
14 23
14 2
14 55
14 57
7 14
9 14
67 6
11 68
16 33
16 44
41 63
41 64
17 18
17 43
5 11
3 11
3 58
18 43
42 43
39 59
45 59
28 50
25 47
63 64
63 1
33 44
3 5
64 1
49 62
19 20
19 8
24 36
15 35
35 66
35 52
35 55
27 35
7 35
9 35
13 20
20 8
20 48
52 66
52 60
27 52
52 61
28 52
46 52
23 55
15 55
55 57
7 55
9 55
48 8
21 22
21 31
22 31
23 57
57 69
7 57
9 57
7 23
7 15
7 9
9 23
9 15
26 60
27 60
51 60
60 61
28 60
46 60
48 66
15 66
54 56
53 56
53 69
24 54
27 51
27 61
27 28
27 46
51 61
28 51
28 61
28 46
46 61
