sources targets
4 23
4 24
1 4
4 25
4 27
2 4
4 26
4 17
3 4
4 22
4 5
4 35
4 28
4 7
4 8
4 9
4 10
4 29
4 30
4 32
4 12
4 13
4 14
4 31
4 21
4 15
4 16
4 33
4 34
4 18
4 19
4 20
17 23
17 24
17 21
17 27
2 17
11 17
3 17
5 17
17 35
6 17
17 28
7 17
9 17
10 17
17 29
17 30
17 32
13 17
14 17
17 31
15 17
16 17
17 33
17 34
17 18
17 19
17 20
23 24
21 23
23 25
23 27
2 23
23 26
3 23
22 23
23 28
7 23
8 23
9 23
10 23
11 23
23 29
23 30
14 23
23 31
1 23
15 23
16 23
23 33
23 34
18 23
19 23
20 23
1 24
24 25
24 27
2 24
24 26
11 24
3 24
22 24
5 24
24 35
24 28
7 24
8 24
9 24
10 24
24 29
24 30
24 32
13 24
14 24
24 31
21 24
15 24
16 24
24 33
24 34
18 24
19 24
20 24
1 21
1 25
1 27
1 2
1 11
1 3
1 22
1 5
1 35
1 28
1 7
1 8
1 9
1 10
1 29
1 30
1 32
1 13
1 14
1 31
1 15
1 16
1 33
1 34
1 18
1 19
1 20
25 27
2 25
25 26
11 25
3 25
22 25
5 25
25 35
25 28
7 25
8 25
9 25
25 29
25 30
25 32
12 25
13 25
14 25
25 31
21 25
15 25
16 25
25 33
25 34
18 25
19 25
20 25
2 27
26 27
3 27
22 27
5 27
27 35
27 28
7 27
8 27
9 27
10 27
27 29
27 30
27 32
12 27
13 27
27 31
21 27
15 27
16 27
27 33
27 34
18 27
19 27
20 27
2 26
2 3
2 22
2 5
2 35
2 28
2 7
2 8
2 9
2 10
2 29
2 30
2 32
2 12
2 13
2 14
2 31
2 21
2 15
2 16
2 33
2 34
2 18
2 19
2 20
26 33
26 30
22 26
7 26
20 26
11 26
5 26
26 34
18 26
19 26
15 26
26 28
26 31
11 33
8 11
9 11
11 21
11 28
3 11
11 22
11 18
11 19
11 15
11 30
11 20
11 31
3 22
3 5
3 35
3 28
3 7
3 8
3 9
3 10
3 29
3 30
3 32
3 13
3 14
3 31
3 21
3 15
3 16
3 33
3 34
3 18
3 19
3 20
21 22
5 22
22 35
22 28
7 22
8 22
9 22
10 22
22 30
22 32
12 22
14 22
22 31
15 22
16 22
22 33
22 34
18 22
19 22
20 22
5 21
5 35
5 28
5 7
5 8
5 9
5 10
5 29
5 30
5 32
5 12
5 13
5 14
5 31
5 15
5 16
5 33
5 34
5 19
5 20
21 35
28 35
7 35
8 35
9 35
10 35
29 35
32 35
12 35
13 35
14 35
31 35
15 35
16 35
33 35
34 35
18 35
19 35
20 35
6 32
6 16
6 14
7 28
8 28
9 28
10 28
28 29
28 30
28 32
14 28
28 31
21 28
15 28
16 28
28 33
28 34
18 28
19 28
20 28
7 8
7 9
7 10
7 29
7 30
7 32
7 13
7 14
7 31
7 21
7 15
7 16
7 33
7 34
7 18
7 19
7 20
8 21
8 9
8 10
8 29
8 30
8 32
8 13
8 14
8 31
8 15
8 33
8 34
8 18
8 19
8 20
9 10
9 29
9 30
9 32
9 12
9 13
9 14
9 31
9 21
9 16
9 33
9 34
9 18
9 19
9 20
10 29
10 30
10 32
10 12
10 13
10 14
10 31
10 21
10 15
10 16
10 33
10 34
10 18
10 19
10 20
29 32
12 29
13 29
14 29
29 31
21 29
16 29
29 34
18 29
19 29
30 32
14 30
30 31
21 30
15 30
16 30
30 33
30 34
18 30
19 30
20 30
12 32
13 32
14 32
31 32
21 32
15 32
16 32
32 33
32 34
18 32
19 32
20 32
12 33
12 20
12 15
12 34
12 31
12 19
12 13
12 21
13 14
13 31
13 21
13 15
13 33
13 34
13 18
13 19
14 31
14 21
14 15
14 16
14 33
14 34
14 18
14 19
14 20
21 31
15 31
16 31
31 33
31 34
18 31
19 31
20 31
15 21
16 21
21 33
21 34
18 21
19 21
20 21
15 16
15 33
15 34
15 18
15 19
15 20
16 34
16 18
16 19
16 20
33 34
18 33
19 33
20 33
18 34
19 34
20 34
18 19
18 20
19 20
