sources targets
1 2
1 37
2 3
2 4
2 5
3 4
3 5
3 15
3 16
3 52
4 5
4 15
4 39
5 15
6 7
6 9
6 33
6 40
6 65
7 8
7 9
7 10
7 11
7 34
8 10
8 24
8 25
8 40
8 55
9 11
9 33
9 34
10 11
10 17
10 24
10 25
10 41
10 51
10 59
10 60
11 17
11 18
11 23
11 34
12 13
12 14
13 14
14 44
14 61
15 16
15 19
15 22
15 52
15 54
16 19
16 21
16 36
16 52
16 53
16 54
17 18
17 20
18 19
18 20
18 22
18 23
19 20
19 21
19 22
19 23
19 36
19 54
20 36
21 36
21 52
21 53
22 23
22 54
23 34
24 25
24 40
24 41
24 59
25 26
26 37
27 28
27 29
27 30
27 38
27 39
27 46
27 47
28 29
28 30
28 31
28 32
28 38
28 39
29 30
29 31
29 38
29 39
30 31
30 32
30 38
30 63
31 32
31 38
31 63
31 64
32 63
32 64
32 68
33 35
33 58
35 42
35 43
35 44
35 61
36 53
38 39
38 47
39 46
39 47
39 48
39 49
40 50
40 55
40 56
41 57
41 59
42 43
42 61
42 62
43 44
43 61
43 62
44 59
44 61
45 46
45 47
45 48
45 49
45 50
46 47
46 48
46 49
46 55
47 48
47 49
48 49
48 50
49 50
50 55
50 56
51 57
51 58
51 59
51 60
52 53
52 54
55 56
57 59
58 60
59 60
61 62
62 66
63 64
63 67
63 68
64 67
64 68
65 66
67 68
67 69
67 70
68 69
68 70
69 70
