sources targets
1 2
1 7
1 21
3 4
3 5
3 12
3 13
3 41
4 5
4 6
4 7
5 6
5 13
5 39
5 40
6 28
6 29
6 40
7 18
7 19
7 20
7 21
7 41
8 9
8 10
8 12
9 10
9 11
9 12
9 13
10 12
11 13
11 24
12 13
13 39
14 15
14 16
14 28
14 32
14 40
14 51
14 52
15 16
15 17
16 32
17 35
17 37
17 57
18 19
18 20
18 21
19 20
19 41
19 42
19 43
20 36
20 43
20 48
22 23
22 24
22 25
22 26
22 27
23 26
23 50
23 53
23 56
24 25
24 27
24 39
24 52
24 55
25 26
25 27
25 31
25 54
25 55
25 58
26 30
26 31
26 56
27 32
27 35
27 52
27 58
28 29
28 40
28 51
30 31
31 54
32 33
32 35
32 52
33 34
33 35
33 36
33 37
33 38
34 35
34 36
34 37
34 58
35 37
35 58
36 38
36 48
37 57
39 40
39 51
39 52
40 51
41 42
42 44
42 45
42 46
43 45
43 48
43 49
44 45
44 47
44 50
45 46
45 47
45 48
45 49
47 49
47 50
47 53
48 49
50 53
51 52
53 56
54 55
