sources targets
1 2
1 32
2 3
2 4
2 20
2 33
3 4
3 33
3 42
4 18
4 34
5 34
5 35
5 43
6 35
6 36
6 44
7 8
7 23
7 36
7 37
7 45
7 46
8 9
8 36
8 37
8 45
9 25
9 37
9 38
10 11
10 24
10 26
10 38
11 12
11 25
11 39
12 13
12 14
12 39
13 14
14 15
15 16
15 31
16 30
16 31
17 18
17 32
17 42
17 49
18 19
18 20
18 42
19 20
19 33
19 42
20 43
21 34
21 43
21 44
22 35
22 36
22 44
22 45
23 24
23 37
23 45
23 46
24 46
24 47
25 26
25 47
26 27
26 48
27 28
27 29
27 48
28 29
29 30
30 31
32 40
32 49
33 40
37 38
38 39
38 46
38 48
39 47
40 41
40 49
41 49
47 48
