sources targets
7 42
42 56
1 42
12 42
24 42
13 42
42 43
42 2
42 57
42 45
14 42
42 46
15 42
4 42
42 53
16 42
5 42
42 52
26 42
28 42
29 42
6 42
42 54
18 42
30 42
19 42
32 42
33 42
21 42
34 42
8 42
22 42
42 49
9 42
36 42
37 42
10 42
42 50
42 51
11 42
23 42
40 42
42 48
41 42
31 42
1 56
12 56
24 56
38 56
56 2
56 57
44 56
14 56
15 56
23 56
16 56
25 56
5 56
26 56
55 56
29 56
28 56
6 56
18 56
19 56
32 56
33 56
20 56
34 56
8 56
22 56
49 56
36 56
51 56
11 56
4 56
13 56
39 56
48 56
31 56
1 24
1 13
1 43
1 2
1 14
1 46
1 15
1 4
1 47
1 16
1 5
1 52
1 26
1 27
1 28
1 29
1 6
1 54
1 18
1 30
1 19
1 32
1 33
1 20
1 21
1 34
1 8
1 22
1 49
1 9
1 36
1 3
1 37
1 7
1 51
1 11
1 23
1 38
1 39
1 40
1 48
1 41
1 31
3 12
12 43
12 2
12 45
12 46
12 47
12 16
5 12
12 52
12 17
12 26
12 28
12 29
6 12
12 31
12 32
12 33
12 20
12 35
8 12
12 22
12 49
12 36
12 37
10 12
12 50
12 51
11 12
12 39
12 41
13 24
24 57
15 24
23 24
24 53
16 24
5 24
24 26
24 28
24 29
24 48
24 30
6 24
24 33
21 24
24 34
24 49
24 36
24 51
11 24
4 24
24 41
24 31
38 57
38 45
14 38
38 46
15 38
38 47
16 38
5 38
29 38
17 38
26 38
28 38
38 54
18 38
30 38
19 38
33 38
20 38
21 38
34 38
35 38
8 38
22 38
38 49
9 38
36 38
37 38
10 38
11 38
38 39
38 40
31 38
13 43
43 2
43 55
43 57
43 44
43 45
14 43
15 43
43 58
4 43
43 53
25 43
5 43
26 43
28 43
29 43
6 43
18 43
19 43
32 43
20 43
34 43
35 43
43 49
37 43
7 43
43 51
11 43
23 43
43 48
41 43
31 43
3 2
13 2
57 2
45 2
46 2
15 2
4 2
53 2
16 2
5 2
29 2
17 2
27 2
28 2
54 2
6 2
30 2
19 2
32 2
33 2
20 2
21 2
34 2
35 2
8 2
22 2
49 2
36 2
37 2
10 2
51 2
11 2
23 2
48 2
41 2
31 2
13 57
28 57
44 57
14 57
46 57
15 57
57 58
4 57
53 57
16 57
25 57
5 57
55 57
54 57
48 57
32 57
34 57
35 57
8 57
49 57
37 57
7 57
51 57
11 57
23 57
40 57
41 57
44 55
44 58
31 45
13 45
14 45
45 46
15 45
4 45
45 53
26 45
27 45
28 45
45 54
6 45
18 45
30 45
45 48
32 45
7 45
34 45
35 45
8 45
22 45
9 45
37 45
45 50
11 45
23 45
39 45
40 45
19 45
14 31
3 14
13 14
14 46
14 15
4 14
14 47
5 14
14 29
14 26
14 27
14 28
14 54
6 14
14 18
14 30
14 48
14 32
14 33
14 34
14 35
8 14
14 22
9 14
14 36
14 37
10 14
7 14
14 51
11 14
14 23
14 39
14 40
14 41
14 19
3 46
13 46
4 46
46 53
46 47
16 46
5 46
46 52
17 46
26 46
27 46
28 46
29 46
6 46
46 54
18 46
30 46
19 46
32 46
33 46
20 46
21 46
34 46
35 46
8 46
22 46
46 49
9 46
36 46
37 46
10 46
46 50
46 51
23 46
39 46
40 46
41 46
31 46
13 15
15 58
4 15
15 53
15 47
15 16
5 15
15 26
15 28
15 29
15 48
15 30
15 31
15 32
15 33
15 21
15 34
8 15
15 49
7 15
15 36
15 37
10 15
15 55
15 51
11 15
15 23
15 40
15 41
15 19
55 58
11 58
25 58
4 23
23 53
23 47
16 23
5 23
23 52
17 23
10 23
23 26
23 29
6 23
23 54
18 23
19 23
23 32
23 33
20 23
21 23
23 34
8 23
22 23
23 49
9 23
7 23
23 36
3 23
23 37
23 50
23 51
11 23
23 39
23 40
23 48
23 41
23 31
13 53
4 53
47 53
16 53
5 53
52 53
26 53
27 53
28 53
29 53
6 53
53 54
18 53
30 53
31 53
32 53
33 53
20 53
21 53
34 53
35 53
8 53
49 53
9 53
36 53
3 53
37 53
50 53
51 53
11 53
39 53
40 53
19 53
7 47
3 47
13 47
4 47
16 47
5 47
47 52
17 47
26 47
28 47
29 47
6 47
18 47
30 47
31 47
32 47
33 47
20 47
21 47
34 47
35 47
8 47
22 47
47 49
9 47
36 47
10 47
47 50
39 47
47 48
19 47
4 16
5 16
16 52
16 17
16 26
16 28
16 29
6 16
16 30
16 48
16 32
16 33
16 20
16 21
16 34
16 35
8 16
16 22
16 49
16 36
3 16
16 37
16 51
11 16
13 16
16 39
10 16
16 41
16 31
25 55
4 5
5 52
5 17
5 26
5 27
5 28
5 29
5 6
5 54
5 18
5 30
5 31
5 32
5 33
5 20
5 21
5 34
5 35
5 8
5 22
5 49
5 36
3 5
5 37
5 7
5 51
5 11
5 13
5 39
5 10
5 48
5 41
5 19
29 52
17 52
26 52
27 52
28 52
52 54
6 52
19 52
32 52
33 52
20 52
21 52
34 52
35 52
8 52
22 52
7 52
36 52
37 52
50 52
51 52
11 52
39 52
31 52
17 32
3 17
17 29
6 17
17 18
17 19
7 17
17 33
17 20
17 21
17 22
17 36
17 50
17 41
3 10
10 29
10 26
10 27
10 28
10 54
6 10
10 19
10 32
10 33
10 20
10 21
10 34
10 35
8 10
10 22
10 36
10 37
10 50
10 51
10 11
4 10
10 13
10 39
10 48
10 41
10 31
26 27
26 28
26 29
6 26
26 54
18 26
26 30
19 26
26 32
26 33
20 26
21 26
26 34
8 26
22 26
26 49
9 26
26 36
3 26
26 37
7 26
26 51
11 26
4 26
